1 Status: trusted C=RU,L=Moscow,O=MITS,OU=Certification Authority,CN=Certificating Center
2 Status: local   C=RU,CN=pov-2-csp2
3 Status: trusted OGRN=1145074015448,INN=005036145714,C=ru,ST=50\, \d0\9c\d0\be\d1\81\d0\ba\d0\be\d0\b2\d1\81\d0\ba\d0\b0\d1\8f \d0\be\d0\b1\d0\bb\d0\b0\d1\81\d1\82\d1\8c,L=\d0\b3. \d0\9f\d0\be\d0\b4\d0\be\d0\bb\d1\8c\d1\81\d0\ba,STREET=\d1\83\d0\bb. \d0\9c\d0\b0\d1\88\d0\b8\d0\bd\d0\be\d1\81\d1\82\d1\80\d0\be\d0\b8\d1\82\d0\b5\d0\bb\d0\b5\d0\b9\, \d0\b4. 7\d0\90,O=\d0\93\d0\9a\d0\a3 \d0\9c\d0\9e \d0\a6\d0\b5\d0\bd\d1\82\d1\80 112,CN=\d0\a3\d0\a6 \d0\93\d0\9a\d0\a3 \d0\9c\d0\9e \d0\a6\d0\b5\d0\bd\d1\82\d1\80 112
4 Status: remote  C=RU,CN=pov-4-csp2
5 Status: remote  C=RU,CN=pov-3-csp1
6 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pov-1-csp1
7 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=taldomskiy-mr-8cs
8 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=krasnogorsk-mr-6cs
9 Status: remote  C=RU,O=MO112,CN=luhovitskiy_mr_4cs
10 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=kashirskiy-mr-6cs
11 Status: remote  C=RU,CN=stupinskiy_mr_6cs
12 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=odincovskiy-mr-1cs
13 Status: remote  C=RU,CN=lobna_go_1cs
14 Status: remote  C=RU,O=MO112,CN=noginskiy_mr_7cs
15 Status: remote  C=RU,O=MO112,CN=k_znam_zato_go_3cs
16 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-4cs
17 Status: remote  C=RU,O=MO112,CN=voshod_zato_1cs
18 Status: remote  C=RU,O=MO112,CN=n_fominsk_mr_9cs
19 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=ramenskiy-mr-3cs
20 Status: remote  C=RU,CN=podolsk_go_1cs
21 Status: remote  C=RU,CN=or_zuevo_mr_9cs
22 Status: remote  C=RU,O=MO112,CN=leninskiy_mr_6cs
23 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=or-zuevo-mr-4cs
24 Status: remote  C=RU,O=MO112,CN=reutov_go_4cs
25 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=dmitrov-mr-20cs
26 Status: remote  C=RU,O=MO112,CN=or_zuevo_go_5cs
27 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=krasnogorsk-mr-9cs
28 Status: remote  C=RU,CN=s_prudskiy_mr_5cs
29 Status: remote  C=RU,ST=Moscow region,L=Krasnogorsk,O=MITS,OU=S-Terra,CN=krasnogorsk-mr-14cs
30 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=himki-cuks-1cs
31 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=balashiha-go-1cs
32 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=domodedovo_go_11cs
33 Status: remote  C=RU,O=MO112,CN=ruzskiy_mr_6cs
34 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=podolsk-go-1cs
35 Status: remote  C=RU,CN=lobna_go_4cs
36 Status: remote  C=RU,CN=pushkinskiy_mr_8cs
37 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=kotelniki-go-2cs
38 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=egorevsk-mr-8cs
39 Status: remote  C=RU,O=MO112,CN=dzerjinsk_go_1cs
40 Status: remote  C=RU,O=MO112,CN=istrinskiy_mr_14cs
41 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=n-fominsk-mr-8cs
42 Status: remote  C=RU,O=MO112,CN=electrostal_go_1cs
43 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=lubereckiy-mr-22cs
44 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ruzskiy-mr-20cs
45 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=litkarino-go-2cs
46 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mitishinski-mr-8cs
47 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=shaturskiy-mr-10cs
48 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=istrinskiy-mr-3cs
49 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=voskresensk-mr-3cs
50 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pushkinskiy-mr-1cs
51 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=podolsk-go-2cs
52 Status: remote  C=RU,O=MO112,CN=electro_gk_go_1cs
53 Status: remote  C=RU,O=MO112,CN=voskresensk_mr_13cs
54 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=kashirskiy-mr-5cs
55 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=lubereckiy-mr-3cs
56 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=lubereckiy-mr-1cs
57 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=serpuhov-go-20cs
58 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=balashiha-go-8cs
59 Status: remote  C=RU,O=MO112,CN=ruzskiy_mr_1cs
60 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=bronnici-go-20cs
61 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-7cs
62 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=s-posadskiy-mr-9cs
63 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=moscow-5cs
64 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=k-armeisk-go-2cs
65 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pushino-go-5cs
66 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-10cs
67 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=n-fominsk-mr-4cs
68 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=egorevsk-mr-4cs
69 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=krasnogorsk-mr-5cs
70 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=volokolamsk-mr-3cs
71 Status: remote  C=RU,O=MO112,CN=dubna_go_5cs
72 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=odincovskiy-mr-3cs
73 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=kashirskiy-mr-7cs
74 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=kashirskiy-mr-20cs
75 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=krasnogorsk-mr-3cs
76 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=s-posadskiy-mr-1cs
77 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=krasnogorsk-mr-16cs
78 Status: remote  CN=shelk_mr_10cs
79 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=schelkovski-mr-2cs
80 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=schelkovski-mr-4cs
81 Status: remote  C=RU,CN=noginskiy_mr_12cs
82 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ivanteevka-go-3cs
83 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=kolomenskiy-mr-2cs
84 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=kolomna-go-3cs
