1 Status: trusted OGRN=1145074015448,INN=005036145714,C=ru,ST=50\, \d0\9c\d0\be\d1\81\d0\ba\d0\be\d0\b2\d1\81\d0\ba\d0\b0\d1\8f \d0\be\d0\b1\d0\bb\d0\b0\d1\81\d1\82\d1\8c,L=\d0\b3. \d0\9f\d0\be\d0\b4\d0\be\d0\bb\d1\8c\d1\81\d0\ba,STREET=\d1\83\d0\bb. \d0\9c\d0\b0\d1\88\d0\b8\d0\bd\d0\be\d1\81\d1\82\d1\80\d0\be\d0\b8\d1\82\d0\b5\d0\bb\d0\b5\d0\b9\, \d0\b4. 7\d0\90,O=\d0\93\d0\9a\d0\a3 \d0\9c\d0\9e \d0\a6\d0\b5\d0\bd\d1\82\d1\80 112,CN=\d0\a3\d0\a6 \d0\93\d0\9a\d0\a3 \d0\9c\d0\9e \d0\a6\d0\b5\d0\bd\d1\82\d1\80 112
2 Status: trusted C=RU,L=Moscow,O=MITS,OU=Certification Authority,CN=Certificating Center
3 Status: local   C=RU,CN=pov-1-csp1
4 Status: remote  C=RU,CN=pov-2-csp2
5 Status: remote  C=RU,O=MO112,CN=ozerskiy_mr_6cs
6 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=stupinskiy-mr-11cs
7 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pushkinskiy-mr-11cs
8 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=serpuhov-go-6cs
9 Status: remote  C=RU,CN=volokolamsk_mr_5cs
10 Status: remote  C=RU,O=MO112,CN=klinskiy_mr_8cs
11 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=egorevsk-mr-8cs
12 Status: remote  C=RU,O=MO112,CN=ramenskiy_mr_15cs
13 Status: remote  C=RU,O=MO112,CN=krasnogorsk_mr_15cs
14 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra,CN=protvino-go-2cs
15 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=or-zuevo-mr-6cs
16 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=balashiha-go-8cs
17 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=serpuhov-go-5cs
18 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ramenskiy-mr-6cs
19 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pav-posad-mr-2cs
20 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=stupinskiy-mr-13cs
21 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=taldomskiy-mr-2cs
22 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mitishinski-mr-8cs
23 Status: remote  C=RU,O=MO112,CN=bronnici_go_1cs
24 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=electro-gk-go-5cs
25 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=zvinigorod-go-2cs
26 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-9cs
27 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=istrinskiy-mr-3cs
28 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=podolsk-go-12cs
29 Status: remote  C=RU,CN=chehovskiy_mr_8cs
30 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-5cs
31 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=korolev-go-7cs
32 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=s-posadskiy-mr-4cs
33 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pushkinskiy-mr-1cs
34 Status: remote  C=RU,O=MO112,CN=ozerskiy_mr_5cs
35 Status: remote  C=RU,O=MO112,CN=noginskiy_mr_13cs
36 Status: remote  C=RU,CN=dolgoprudn_go_3cs
37 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-5cs
38 Status: remote  C=RU,O=MO112,CN=dubna_go_5cs
39 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-4cs
40 Status: remote  C=RU,CN=volokolamsk_mr_1cs
41 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ozerskiy-mr-3cs
42 Status: remote  C=RU,CN=pov-3-csp1
43 Status: remote  C=RU,O=MO112,CN=mitishinski_mr_10cs
44 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=istrinskiy-mr-8cs
45 Status: remote  C=RU,CN=noginskiy_mr_12cs
46 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=himki-go-4cs
47 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=kolomenskiy-mr-2cs
48 Status: remote  CN=shelk_mr_10cs
49 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=n-fominsk-mr-3cs
50 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=losino-petr-go-2cs
51 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=luhovitskiy-mr-6cs
52 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=noginskiy-mr-1cs
53 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=mitishinski-mr-12cs
54 Status: remote  C=RU,CN=noginskiy_mr_11cs
55 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-5cs
56 Status: remote  C=RU,O=MO112,CN=klinskiy_mr_1cs
57 Status: remote  C=RU,O=MO112,CN=ruzskiy_mr_9cs
58 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=serpuhov-go-3cs
59 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=voskresensk-mr-6cs
60 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=klinskiy-mr-4cs
61 Status: remote  C=RU,O=MO112,CN=istrinskiy_mr_1cs
62 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=j-dorozjniy-go-3cs
63 Status: remote  C=RU,CN=mitishinski_mr_1cs
64 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=himki-cuks-1cs
65 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pushino-go-5cs
66 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=ramenskiy-mr-1cs
67 Status: remote  C=RU,CN=schelkovski_mr_1cs
68 Status: remote  C=RU,O=MO112,CN=k_znam_zato_go_1cs
69 Status: remote  C=RU,CN=himki_go_1cs
70 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dmitrov-mr-5cs
71 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=n-fominsk-mr-6cs
72 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mos-oblast-msk-1cs
73 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ruzskiy-mr-3cs
74 Status: remote  C=RU,O=MO112,CN=s_posadskiy_mr_16cs
75 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=moscow-5cs
76 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=stupinskiy-mr-4cs
77 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=serpuhov-go-1cs
78 Status: remote  C=RU,CN=luhovitskiy_mr_1cs
79 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=roshal-go-3cs
80 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ruzskiy-mr-5cs
81 Status: remote  C=RU,CN=krasnogorsk_mr_10cs
82 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=schelkovski-mr-8cs
83 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=shaturskiy-mr-11cs
84 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=noginskiy-mr-5cs
85 Status: remote  C=RU,CN=ozerskiy_mr_1cs
86 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=leninskiy-mr-3cs
87 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dubna-go-2cs
88 Status: remote  C=RU,CN=s_gorskiy_mr_9cs
