1 Status: local   C=RU,CN=pov-4-csp2
3 Status: trusted C=RU,L=Moscow,O=MITS,OU=Certification Authority,CN=Certificating Center
4 Status: remote  C=RU,O=MO112,CN=domodedovo_go_6cs
5 Status: remote  C=RU,O=MO112,CN=mozhaiskiy_mr_1cs
6 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=istrinskiy-mr-5cs
7 Status: remote  C=RU,CN=s_gorskiy_mr_9cs
8 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dmitrov-mr-1cs
9 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=voskresensk-mr-8cs
10 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=s-gorskiy-mr-2cs
11 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=schelkovski-mr-2cs
12 Status: remote  C=RU,O=MO112,CN=roshal_go_1cs
13 Status: remote  C=RU,O=MO112,CN=reutov_go_1cs
14 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-11cs
15 Status: remote  C=RU,L=Moscow,O=MITS,OU=S_Terra KP,CN=schelkovski-mr-17cs
16 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=n-fominsk-mr-7cs
17 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-7cs
18 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=domodedovo-go-3cs
19 Status: remote  C=RU,ST=Moscow region,L=Krasnogorsk,O=MITS,OU=S-Terra,CN=krasnogorsk-mr-14cs
20 Status: remote  C=RU,O=MO112,CN=pushkinskiy_mr_14cs
21 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=protvino-go-3cs
22 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=chehovskiy-mr-4cs
23 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=volokolamsk-mr-2cs
24 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=leninskiy-mr-5cs
25 Status: remote  C=RU,CN=lobna_go_4cs
26 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mitishinski-mr-7cs
27 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=pushino-go-3cs
28 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=krasnogorvsk-mr-8cs
29 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=istrinskiy-mr-6cs
30 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=taldomskiy-mr-4cs
31 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=voskresensk-mr-5cs
32 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=or-zuevo-mr-2cs
33 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mozhaiskiy-mr-4cs
34 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=lobna-go-3cs
35 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=noginskiy-mr-20cs
36 Status: remote  C=RU,CN=schelkovski_mr_23cs
37 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=zvinigorod-go-2cs
38 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pov-3-csp1
39 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=n-fominsk-mr-1cs
