balashiha_go_1cs	10.1.1.32/29
balashiha_go_2cs	10.1.2.32/29
balashiha_go_3cs	10.1.3.32/29
balashiha_go_4cs	10.1.4.32/29
balashiha_go_5cs	10.1.5.32/29
balashiha_go_6cs	10.1.6.32/29
balashiha_go_7cs	10.1.7.32/29
balashiha_go_8cs	10.1.8.32/29
balashiha_go_9cs	10.1.9.32/29
balashiha_go_10cs	10.1.10.32/29
bronnici_go_1cs	10.2.1.32/29
bronnici_go_2cs	10.2.2.32/29
bronnici_go_3cs	10.2.3.32/29
bronnici_go_4cs	10.2.4.32/29
bronnici_go_20cs	10.2.20.32/29
bronnici-go-20cs	10.2.20.32/29
volokolamsk_mr_1cs	10.3.1.32/29
volokolamsk_mr_2cs	10.3.2.32/29
volokolamsk_mr_3cs	10.3.3.32/29
volokolamsk_mr_4cs	10.3.4.32/29
volokolamsk_mr_5cs	10.3.5.32/29
voskresensk_mr_1cs	10.4.1.32/29
voskresensk_mr_2cs	10.4.2.32/29
voskresensk_mr_3cs	10.4.3.32/29
voskresensk_mr_4cs	10.4.4.32/29
voskresensk_mr_5cs	10.4.5.32/29
voskresensk_mr_6cs	10.4.6.32/29
voskresensk_mr_7cs	10.4.7.32/29
voskresensk_mr_8cs	10.4.8.32/29
voskresensk_mr_9cs	10.4.9.32/29
voskresensk_mr_10cs	10.4.10.32/29
voskresensk_mr_11cs	10.4.11.32/29
voskresensk_mr_12cs	10.4.12.32/29
voskresensk_mr_13cs	10.4.13.32/29
dzerjinsk_go_1cs	10.5.1.32/29
dzerjinsk_go_2cs	10.5.2.32/29
dzerjinsk_go_3cs	10.5.3.32/29
dmitrov_mr_1cs	10.6.1.32/29
dmitrov_mr_2cs	10.6.2.32/29
dmitrov_mr_3cs	10.6.3.32/29
dmitrov_mr_4cs	10.6.4.32/29
dmitrov_mr_5cs	10.6.5.32/29
dmitrov_mr_6cs	10.6.6.32/29
dmitrov_mr_7cs	10.6.7.32/29
dmitrov_mr_8cs	10.6.8.32/29
dmitrov_mr_9cs	10.6.9.32/29
dmitrov_mr_10cs	10.6.10.32/29
dmitrov_mr_11cs	10.6.11.32/29
dmitrov_mr_12cs	10.6.12.32/29
dmitrov_mr_20cs	10.6.20.32/29
dmitrov-mr-20cs	10.6.20.32/29
dolgoprudn_go_1cs	10.7.1.32/29
dolgoprudn_go_2cs	10.7.2.32/29
dolgoprudn_go_3cs	10.7.3.32/29
domodedovo_go_1cs	10.8.1.32/29
domodedovo_go_2cs	10.8.2.32/29
domodedovo_go_3cs	10.8.3.32/29
domodedovo_go_4cs	10.8.4.32/29
domodedovo_go_5cs	10.8.5.32/29
domodedovo_go_6cs	10.8.6.32/29
domodedovo_go_7cs	10.8.7.32/29
domodedovo_go_8cs	10.8.8.32/29
domodedovo_go_9cs	10.8.9.32/29
domodedovo_go_10cs	10.8.10.32/29
domodedovo_go_11cs	10.8.11.32/29
